,name,type,review,area
371,하회 탈 박물관,전시/극장/공연,93.0,경상북도
372,산방산,자연/공원,93.0,제주도
373,장안문,즐길거리/랜드마크,93.0,경기도
374,서울 푸드 투어 - 당일 투어,행사/투어,93.0,서울
375,삼성혈,즐길거리/랜드마크,93.0,제주도
376,수원 월드컵 경기장,테마파크/게임,93.0,경기도
377,계림,자연/공원,92.0,경상북도
378,제주 유리 박물관,전시/극장/공연,92.0,제주도
379,설악 워터피아,테마파크/게임,91.0,강원도
380,경동시장,쇼핑몰/백화점,91.0,서울
381,대관령 양떼목장,자연/공원,90.0,강원도
382,동화 면세점,쇼핑몰/백화점,89.0,서울
383,골굴사,즐길거리/랜드마크,88.0,경상북도
384,석촌호수,자연/공원,88.0,서울
385,파주 프로방스,쇼핑몰/백화점,87.0,경기도
386,서울 프라이빗 드라이버,교통서비스,86.0,서울
387,Gyeongju National Park,자연/공원,86.0,경상북도
388,더 리얼 서울,행사/투어,86.0,서울
389,메가박스 코엑스몰점,전시/극장/공연,85.0,서울
390,인디웨이(주),행사/투어,84.0,서울
391,농협 농산물 백화점 자갈치점,쇼핑몰/백화점,84.0,부산
392,서울빛초롱축제,행사/투어,84.0,서울
393,보문 관광 단지,자연/공원,83.0,경상북도
394,캣 카페 고양이 놀이터,즐길거리/랜드마크,83.0,서울
395,화폐 금융 박물관,전시/극장/공연,83.0,서울
396,산방굴사,즐길거리/랜드마크,83.0,제주도
397,타기 트래블 코리아,행사/투어,82.0,서울
398,클럽 옥타곤,즐길거리/랜드마크,82.0,서울
399,한라 수목원,자연/공원,81.0,제주도
400,세빛섬,자연/공원,81.0,서울
401,홍익대학교,즐길거리/랜드마크,80.0,서울
402,제주 데이 투어,행사/투어,80.0,제주도
403,석불사,즐길거리/랜드마크,80.0,부산
404,인왕산,자연/공원,80.0,서울
405,호미곶 해맞이 광장,즐길거리/랜드마크,79.0,경상북도
406,북악산 서울 성곽,즐길거리/랜드마크,79.0,서울
407,시월드,테마파크/게임,78.0,서울
408,아띠인력거,행사/투어,78.0,서울
409,금능해수욕장,자연/공원,78.0,제주도
410,메세나폴리스몰,쇼핑몰/백화점,78.0,서울
411,죽전 카페거리,즐길거리/랜드마크,77.0,경기도
412,국립 과천 과학관,전시/극장/공연,77.0,경기도
413,청와대 사랑채,전시/극장/공연,77.0,서울
414,이호테우해변,자연/공원,77.0,제주도
415,고속터미널상가,쇼핑몰/백화점,77.0,서울
416,김영갑 갤러리 두모악,전시/극장/공연,76.0,제주도
417,딜렉터블 트래블스,행사/투어,76.0,서울
418,우도등대공원,자연/공원,75.0,제주도
419,속초 엑스포 타워,전망대,75.0,강원도
420,뮤지엄김치간,전시/극장/공연,75.0,서울
421,부산투어리즘센터,행사/투어,75.0,부산
422,회현 지하 상가,쇼핑몰/백화점,75.0,서울
423,부산 근대 역사관,전시/극장/공연,75.0,부산
424,낙산 해수욕장,자연/공원,74.0,강원도
425,제주 남양 택시 투어,행사/투어,74.0,제주도
426,남한산성 도립공원,자연/공원,74.0,경기도
427,무열왕릉,즐길거리/랜드마크,74.0,경상북도
428,문무대왕릉,즐길거리/랜드마크,74.0,경상북도
429,용산 전자상가,쇼핑몰/백화점,74.0,서울
430,국립해양박물관,전시/극장/공연,73.0,부산
431,세계자동차제주박물관,전시/극장/공연,73.0,제주도
432,월미 공원,자연/공원,73.0,인천
433,제주미니미니랜드,테마파크/게임,73.0,제주도
434,강릉 선교장,즐길거리/랜드마크,72.0,강원도
435,익선동한옥거리,즐길거리/랜드마크,72.0,서울
436,부산항대교,즐길거리/랜드마크,72.0,부산
437,삼광사,즐길거리/랜드마크,72.0,부산
438,광치기 해변,자연/공원,71.0,제주도
439,아인스월드,테마파크/게임,71.0,경기도
440,캠프 보니파스,즐길거리/랜드마크,70.0,경기도
441,소양호,자연/공원,70.0,강원도
442,방주교회,즐길거리/랜드마크,70.0,제주도
443,현대백화점 압구정본점,쇼핑몰/백화점,70.0,서울
444,스파 레이,즐길거리/랜드마크,69.0,서울
445,경포대,즐길거리/랜드마크,69.0,강원도
446,황우지,자연/공원,69.0,제주도
447,고척스카이돔,테마파크/게임,69.0,서울
448,정동극장,전시/극장/공연,69.0,서울
449,홍대난타전용극장,전시/극장/공연,68.0,서울
450,동명항,즐길거리/랜드마크,68.0,강원도
451,허브 아일랜드,자연/공원,68.0,경기도
452,비지트 서울,행사/투어,68.0,서울
453,세화 해수욕장,자연/공원,68.0,제주도
