랭킹	지역	상호명	업종	주소	경도	위도
7001	서울	카페소피	카페/주점	용산구 이태원동	126.9925274	37.5385142
7002	강원	안목수구레국밥	한식	강원 강릉시 견소동	128.9424477	37.7727869
7003	서울	오요리	기타/세계	마포구 서교동	126.9187795	37.5538373
7004	서울	레오니다스(Leonidas) 이태원점	카페/주점	용산구 이태원동	126.9925274	37.5385142
7005	강원	뱃머리 속초점	한식	강원 속초시 동명동	128.5916464	38.2113416
7006	서울	풀그라운드	양식	마포구 동교동	126.9251538	37.5575987
7007	서울	돼지평야	한식	서초구 잠원동	127.0090972	37.5151011
7008	서울	호시탐탐	양식	강동구 성내동	127.1289934	37.53049
7009	서울	청춘싸롱 논현점	카페/주점	강남구 논현동	127.0317166	37.5136758
7010	서울	청춘극장	한식	동대문구 회기동	127.0514479	37.5937314
7011	서울	라뮤즈드연희	양식	서대문구 연희동	126.932826	37.5719858
7012	부산	퍼지네이블(FUZZY NAVEL)	카페/주점	부산 부산진구 부전2동	129.0567979	35.1526061
7013	서울	바삭(The bar삭)	분식	용산구 이태원동	126.9925274	37.5385142
7014	서울	유니버스샌드위치(universesandwich)	카페/주점	용산구 이태원동	126.9925274	37.5385142
7015	서울	광화문집	한식	종로구 당주동	126.9740149	37.5715851
7016	제주	탐라맛고을	한식	제주 서귀포시 표선면	126.7684658	33.3748019
7017	서울	크래프트웍스탭하우스앤비스트로	카페/주점	용산구 이태원동	126.9925274	37.5385142
7018	서울	한성문고 가로수길점	일식	강남구 신사동	127.0265061	37.5238058
7019	서울	구이와장	한식	강남구 논현동	127.0317166	37.5136758
7020	서울	CAFE 37.5	카페/주점	서초구 반포동	127.0007619	37.503966
7021	강원	세실리아(Cecilia)	카페/주점	강원 강릉시 교동	128.8880235	37.767407
7022	서울	더끌리네(THE CLINET)	양식	강남구 신사동	127.0265061	37.5238058
7023	전북	청춘	양식	전북 군산시 나운2동	126.6992266	35.965173
7024	제주	아이스크림연구소카페	카페/주점	제주 제주시 우도면	126.9554783	33.5054232
7025	서울	펄(Pearl)	카페/주점	용산구 이태원동	126.9925274	37.5385142
7026	서울	비어블러바드(Beer BLVD)	카페/주점	마포구 서교동	126.9187795	37.5538373
7027	서울	브릭레인카페	카페/주점	용산구 이태원동	126.9925274	37.5385142
7028	제주	카페1158(CAFE1158)	카페/주점	제주 제주시 애월읍	126.3939726	33.4110375
7029	서울	더사일런스오브더램	카페/주점	용산구 이태원동	126.9925274	37.5385142
7030	서울	바이스로이(Viceroy)	카페/주점	용산구 이태원동	126.9925274	37.5385142
