,name,type,review,area
330,봉화산,산 • 하이킹 트레일,2,서울
331,인사아트센터,아트갤러리,10,서울
332,사직 공원,공원,9,서울
333,사춤 시어터,시어터,18,서울
334,엠플라자,쇼핑몰,11,서울
335,국립중앙도서관,도서관,11,서울
336,청운공원,공원,7,서울
337,서대문독립공원,공원,5,서울
338,한성 백제 박물관,역사박물관,16,서울
339,서울 석촌동 고분군,즐길거리 & 랜드마크,17,서울
340,호림아트센터 신사분관,전문 박물관,4,서울
341,청하고려 인삼박물관,전문 박물관,3,서울
342,갤러리 더 스페이스,아트갤러리,2,서울
343,암사동선사주거지,역사적인 장소,5,서울
344,종로 성당,즐길거리 & 랜드마크 • 교회 & 성당,5,서울
345,백범광장,공원,7,서울
346,동림매듭박물관,전문 박물관,16,서울
347,숙명여자대학교박물관,전문 박물관,4,서울
348,마포대교,브리지,11,서울
349,국립서울과학관,과학박물관,13,서울
350,BK성형박물관,전문 박물관,5,서울
351,리틀 도쿄,즐길거리 & 랜드마크,8,서울
352,육군 사관학교,교육적인 장소,5,서울
353,옹기 민속 박물관,역사박물관,3,서울
354,만화의거리 재미로,즐길거리 & 랜드마크,2,서울
355,유니버설아트센터,아트갤러리,5,서울
356,KT스퀘어,전문 박물관,3,서울
357,모래내시장,벼룩시장 & 재래시장,3,서울
358,동묘,역사적인 장소,16,서울
359,창의문 (자하문),역사적인 장소,10,서울
360,경인 미술관,전문 박물관,8,서울
361,LG 아트센터,시어터,17,서울
362,선유교,브리지,8,서울
363,경리단길,즐길거리 & 랜드마크,4,서울
364,석조전 대한제국역사관,역사박물관,6,서울
365,지구촌 민속 박물관,역사박물관,4,서울
366,토이키노 장난감 박물관,전문 박물관 • 어린이 박물관,1,서울
367,하이브랜드 프리미엄 아울렛,쇼핑몰,5,서울
368,"떡,부엌살림박물관",전문 박물관,12,서울
369,강남관광정보센터,관광센터,6,서울
370,수락산,자연 & 야생동물 서식지 • 공원,6,서울
371,용마폭포공원,공원 • 산림,4,서울
372,난지천공원,공원 • 놀이터,3,서울
373,불교중앙박물관,전문 박물관,13,서울
374,석호정,역사적인 장소 • 즐길거리 & 랜드마크,1,서울
375,기생충박물관,전문 박물관,3,서울
376,안녕인사동,쇼핑몰,5,서울
377,독도체험관,역사박물관,4,서울
378,성곡미술관,아트뮤지엄,10,서울
379,갤러리위,아트갤러리,1,서울
380,답십리 고미술상가,앤틱샵,6,서울
381,아현동 웨딩드레스거리,인근 지역,4,서울
382,성내동 쭈꾸미골목,인근 지역,3,서울
383,숙정문,역사적인 장소,8,서울
384,광희동 중앙아시아거리,인근 지역 • 즐길거리 & 랜드마크,6,서울
385,정동교회,역사적인 장소 • 종교적인 장소,10,서울
386,용산공원갤러리,역사박물관,2,서울
387,우정총국,즐길거리 & 랜드마크,8,서울
388,언더스탠드에비뉴,인근 지역 • 즐길거리 & 랜드마크,4,서울
389,만해 한용운 심우장,역사적인 장소,3,서울
390,한국 자수 박물관,전문 박물관,15,서울
391,윤스칼라,전문 박물관,2,서울
392,알파갤러리,아트갤러리,3,서울
393,대오서점,역사적인 장소 • 즐길거리 & 랜드마크,3,서울
394,서울의 산과 공원,공원,3,서울
395,와룡묘,역사적인 장소 • 즐길거리 & 랜드마크,2,서울
396,효창공원,공원,2,서울
397,북촌한옥지원센터,관광센터,5,서울
398,수도국산 달동네박물관,전문 박물관,3,서울
399,디지털파빌리온,과학박물관,7,서울
400,Kukje Gallery,아트갤러리,3,서울
401,티움,전문 박물관,9,서울
402,돈의문 박물관 마을,역사적인 장소 • 인근 지역,3,서울
403,북한산둘레길,경관이 좋은 산책로,2,서울
404,사육신공원,공원,11,서울
405,서울중앙우체국,전문 박물관,1,서울
406,로봇 박물관,전문 박물관,3,서울
407,춘원당한방 박물관,전문 박물관,3,서울
408,갤러리 학고재,아트뮤지엄,4,서울
409,템플스테이 홍보관,관광센터,2,서울
410,쇳대박물관,전문 박물관,10,서울
411,이태원어린이공원,공원 • 놀이터,2,서울
412,누죤,백화점,6,서울
413,The Museum of Photography,아트뮤지엄,2,서울
414,메사,쇼핑몰,9,서울
415,주렁주렁 - 타임스퀘어점,동물원 • 수족관,1,서울
416,백사실 계곡,계곡,5,서울
417,연세대학교 박물관,전문 박물관,14,서울
418,영락교회,즐길거리 & 랜드마크 • 교회 & 성당,2,서울
419,구로시장,벼룩시장 & 재래시장,2,서울
